sample_id	0007888f-8d96-4c01-8251-7fef6cc71596	000b6b94-572d-4d06-a8f4-2e43829f83d4	000d81dd-9ba4-4852-9090-2bf22f6483f0	0016a232-4573-4e00-afdc-7b4144101ef9	00174492-1adc-4310-8147-a622befbb466	0019c951-16c5-48d0-85c8-58d96b12d330	0022cd20-f64f-4773-b9ff-a3de0b71b259	0024696f-27f5-4d5d-a933-d8c8c52146a6	00252d7f-e222-462f-badc-b97e8dce2021	002cf74b-098b-4de6-9a76-0d889c894ab6
MTMR7	0.2674	1.1201	0.7177	0.3685	0.8839	0.5223	0.5583	0.719	1.0882	0.4594
SLC7A2	20.6987	20.4884	21.3868	21.3034	19.5408	18.9652	15.7572	2.2947	21.6223	2.4839
ARF5	242.0253	196.7229	101.9125	158.1331	89.9378	176.8944	154.1844	63.9369	147.0133	119.6511
SARM1	3.5359	2.5707	2.5437	0.5526	2.3721	0.9774	1.2166	0.4697	3.1768	0.5249
POLDIP2	183.8726	190.2976	141.9338	116.1046	106.9382	164.362	119.477	68.9062	113.3977	84.5848
PLXND1	11.2299	52.2782	148.1616	24.3559	80.4887	62.6194	92.7917	8.4723	120.3154	16.6609
AK2	46.5569	32.8406	55.0032	40.5887	51.3395	64.3718	38.4827	20.3158	45.3526	32.5724
CD38	20.2766	23.0488	4.5361	0.9953	2.387	0.8936	3.4306	0.9526	1.7709	3.1935
FKBP4	72.0097	140.8113	47.9291	43.1062	42.2934	117.9804	56.9634	62.4759	48.7333	49.7365
KDM1A	109.3986	59.9109	46.4027	34.8463	22.5052	58.3358	45.2099	25.1467	25.8659	25.8861
RBM6	85.0309	47.9975	40.0922	16.1034	18.7414	40.5199	38.4135	17.9823	10.1003	14.3279
CAMKK1	5.8772	53.4919	10.4473	7.7084	7.3262	9.0916	4.5761	2.9778	5.6366	2.3475
RECQL	7.9958	49.7908	34.239	1.0004	22.1347	48.4123	31.1105	6.939	38.4531	11.8834
VPS50	9.1774	7.6487	11.6986	2.1161	6.6677	23.7788	9.2063	11.5284	8.5492	10.6596
HSPB6	6.2832	1.6105	0.1227	0.8544	0.6031	1.8617	11.5859	3.7617	2.1364	13.7027
ARHGAP33	6.2322	9.0005	10.0969	1.2508	6.6846	5.0702	4.2607	3.5736	2.976	2.5445
NDUFAB1	104.2264	107.6152	94.1097	188.5862	64.5094	97.8652	77.1796	78.6564	103.5756	97.881
PDK4	12.0447	5.1858	212.4312	92.6298	1016.4726	25.4799	55.8035	6.112	459.3129	4.7346
SLC22A16	0.4195	1.5671	0.2979	0.0628	0.1676	0.0149	0.0542	0.012	0.0737	0.1374
ZMYND10	4.4401	0.7146	3.1494	12.0661	1.9329	15.4933	12.6724	0.5043	3.2072	0.1726
ABCB5	0.0308	0.0077	0.1714	0	0.0374	0.0567	0.2633	0.0051	0.143	0.0331
ARX	5.4924	0.0914	0.034	0.1892	0	0.0375	0.2722	1.2073	0.0739	0.0246
SLC25A13	29.9464	41.9282	46.5105	11.831	26.4495	29.0371	19.2791	20.1907	51.454	22.6067
ST7	13.2242	15.1961	16.6817	10.2919	10.2151	13.2346	14.5079	6.4809	17.355	20.3208
CDC27	25.544	49.711	51.906	15.6414	28.2403	61.5299	46.3125	21.658	28.4041	44.8575
SLC4A1	0.0278	0.0417	5.264	0.0096	0.1578	0.0114	0.0207	0.0183	0.1909	0.2918
CALCR	0.0169	0.0674	10.9255	0	8.3919	1.396	0.1255	0.089	10.4277	0.0272
HCCS	31.7541	25.9486	33.3239	16.2819	24.9347	36.9621	24.1957	30.5067	40.8231	77.5342
DVL2	15.5091	52.9555	25.9073	18.1404	17.5513	23.7772	19.5956	8.4961	11.0969	15.9712
PRSS22	12.3756	8.6302	0.0888	11.0592	0.0646	19.2647	4.9782	136.9592	0.0724	30.9018
UPF1	84.6726	80.7912	59.7041	30.8053	23.7997	69.9157	38.3041	34.8409	55.1739	56.2519
SKAP2	18.9958	29.0556	97.8238	3.9014	63.597	30.4032	37.4065	37.5527	65.462	35.145
SLC25A5	300.6391	737.5542	285.7526	271.376	223.9122	534.6724	316.6645	659.8732	408.2183	312.9387
MCUB	3.3076	17.5826	9.9398	19.9013	6.8357	25.3456	43.0561	11.9367	4.4842	21.9203
HOXA11	21.8679	0.5868	1.9423	0	2.1211	2.5801	6.0545	7.1133	1.0781	0.1868
POLR2J	107.7117	101.8749	35.6038	183.1631	33.5378	74.3786	59.7072	32.6353	65.7475	102.398
DHX33	53.6852	30.6214	15.6803	4.4526	10.205	28.0647	14.6709	8.272	11.3033	15.1239
MEOX1	0.4264	2.2364	0.7913	1.4322	0.5329	1.2876	19.1995	2.6186	0.3013	1.8788
THSD7A	5.0833	0.5215	13.8143	0.2922	5.8397	2.7092	9.5524	0.2065	13.7275	0.9973
LIG3	24.4876	15.5285	7.6512	3.4403	3.621	16.2709	8.2793	4.138	4.8892	5.8174
RPAP3	25.1357	29.4613	20.3288	7.6536	9.7467	41.33	23.4804	11.3136	11.2089	24.8592
ACSM3	8.5024	1.3651	10.3965	0.6341	10.6817	2.3778	1.2275	0.4067	7.0194	2.9975
REXO5	13.14	6.1477	3.5257	2.4841	3.0165	7.6797	4.0468	2.412	1.7079	1.8284
CIAPIN1	22.9824	39.5626	42.844	28.3147	25.3746	35.4663	35.6292	27.6016	37.5616	35.0396
SPPL2B	23.2072	49.1499	21.1479	10.959	12.7334	12.0113	7.727	15.1641	16.9649	25.9025
ATOSB	32.776	12.0384	14.4713	9.1109	8.9407	12.5136	18.0762	15.5171	14.1641	47.4995
COPZ2	13.7487	18.3511	17.1792	26.3114	37.5829	64.0178	122.4886	4.382	31.5817	8.5496
PRKAR2B	43.1231	14.1314	5.2377	1.5206	5.8644	104.1448	53.678	1.9186	11.8827	3.4373
MSL3	10.012	20.0181	13.0677	3.6898	6.7927	14.1537	13.4351	7.8371	8.9091	6.6151
CREBBP	27.0988	20.9679	34.0649	8.6306	20.0905	46.9301	25.0277	20.939	33.9598	26.1479
TSPOAP1	10.9565	9.6639	8.5648	1.9916	4.8389	6.82	2.4842	0.5447	2.9814	0.5556
MPO	0.0202	0.6459	0.15	0.0835	0.0764	0.0496	0.3004	0	0.0979	0.1414
PON1	0.1073	0.4287	0	0.0924	0	0.3075	0.5384	0.1946	0.1733	0.0144
GCFC2	13.1256	17.7132	18.5948	4.1798	9.9769	20.065	10.7962	7.2443	12.6438	7.7022
WDR54	10.9945	27.9075	30.3813	32.4502	38.4576	12.5431	13.3755	4.35	30.9141	11.3758
CROT	31.8728	31.7832	12.6236	16.0315	8.9128	80.4267	20.0684	17.3297	12.9272	37.2672
ABCB4	0.3596	0.9765	6.8313	0.1144	3.5033	0.9213	1.9333	0.4013	3.6937	0.3374
KMT2E	35.3349	26.2112	54.722	4.9349	28.6253	65.7831	39.7164	24.0659	36.9805	28.7979
RHBDD2	217.4307	173.362	74.5002	414.1619	50.4679	140.3504	104.5006	103.248	93.7419	157.3622
SOX8	1.2117	0.7963	0.497	4.8438	0.2068	0.3264	1.1142	2.5126	0.1545	0.2231
IBTK	48.0844	25.5405	41.2557	7.0107	25.8305	40.3059	30.5227	31.2769	22.8709	13.0281
ZNF195	8.8054	16.0669	9.2056	2.9431	7.9746	10.614	6.3066	7.5881	5.9609	16.5306
MYCBP2	7.3061	12.6646	19.5022	3.501	7.4966	34.6157	18.456	18.3776	17.4087	15.0933
FBXL3	20.8677	11.6204	48.1287	9.8666	26.8808	69.6312	42.4918	24.7918	23.7895	21.8739
ITGAL	0.5202	41.3985	30.8788	2.2846	10.4088	6.9338	21.0713	0.4812	11.8379	5.0892
PDK2	12.2834	14.2097	38.6947	12.5009	31.0008	19.8613	11.1658	4.4064	29.5483	13.9422
ITGA3	16.671	34.0343	62.0079	229.7377	92.6526	56.0056	22.3505	52.4062	125.2872	500.3148
ZFX	17.9482	9.1855	24.6784	3.6672	15.9936	44.5897	20.9653	10.5406	15.4304	8.3387
LAMP2	97.7876	83.5313	134.6194	55.0541	104.6415	139.9606	88.673	91.2735	240.5312	90.0509
ITGA2B	0.2252	1.6251	1.0032	1.5518	1.1023	0.082	0.2512	0.0578	0.283	0.0808
ASB4	0.0774	0.2164	0.1148	0.3944	0.0585	0.152	0.3566	0.0714	0.2999	0.0083
GDE1	121.0032	41.9041	29.9315	32.4108	18.9575	115.7308	56.8921	44.146	38.7776	49.1733
REX1BD	17.6522	58.1824	12.8362	37.9407	10.6133	10.1965	7.1041	11.8913	17.0551	13.5948
CRLF1	0.4323	3.4552	1.3193	55.7162	0.5711	0.8064	2.4643	0.3643	0.1746	1.6545
OSBPL7	9.4231	23.3008	7.6144	6.6937	4.0492	6.7663	7.699	4.8338	4.0282	22.6936
TMEM98	114.8307	27.2716	29.065	153.813	26.2387	62.6662	41.3375	10.8356	40.8965	63.2138
YBX2	0.1077	2.1676	0.6625	0.3817	1.3638	3.541	1.167	9.3967	4.3619	4.6954
KRT33A	0	0.1093	0	0	0.0296	0	0.0813	0.4328	0.0442	0.0589
MAP3K14	3.3947	30.6094	20.9801	4.0106	12.0739	14.0436	11.1142	5.0492	13.7073	15.6362
ABCC8	2.2702	0.2432	0.1177	0.0702	0.0642	8.8361	1.2795	0.0187	0.0229	0.0091
CACNG3	0	0	0	0	0	0	0	0	0	0
TMEM132A	26.3347	39.8434	9.483	2.0924	15.0626	14.4489	21.7274	7.688	9.6919	62.1694
AP2B1	93.1947	97.892	163.8027	85.7114	97.5753	309.5217	137.0855	54.1623	155.8505	145.4016
TAC1	9.0745	0	0	0.1147	0	0.5113	0.1238	0.0274	0.2689	0
ZNF263	26.233	14.3095	18.0926	13.9018	10.694	27.6429	20.8022	6.3411	15.738	15.3567
CX3CL1	14.0855	51.2675	237.3144	94.0259	102.0235	26.3978	25.2286	2.4758	102.1034	12.7339
SPATA20	124.3554	34.0818	57.1107	56.3462	40.662	40.5669	37.6839	12.8644	67.1797	83.2671
CACNA1G	8.1874	0.3255	0.021	0.0146	0.0153	1.2527	0.4265	0.0934	0.0629	0.0686
TNFRSF12A	18.281	46.3674	34.3648	554.9801	31.6048	54.1449	99.6094	23.1184	122.514	380.0051
DLX6	0.4137	2.0665	1.1363	0.0428	0.3689	0	0.1692	2.51	0.3508	0.0223
MAP3K9	6.3002	2.4026	1.0079	1.649	0.8177	3.9389	1.3517	18.3709	1.301	4.8734
RALA	45.0206	79.5858	82.503	23.0876	45.4306	96.2674	98.784	106.8022	54.2056	81.5963
BAIAP2L1	83.5334	32.3692	3.2259	21.9873	4.6971	20.445	13.0998	41.8467	8.8934	82.8723
KDM7A	13.8683	11.425	15.0042	1.7224	8.1968	36.9011	19.7849	14.993	12.2612	9.7122
ETV1	1.7492	5.9234	4.7864	5.0501	5.992	6.0208	8.4528	5.4105	10.9354	3.837
AGK	10.9458	15.4802	13.0354	2.0425	7.0168	10.4091	9.1135	4.8632	7.0263	2.0471
ALDH3B1	2.2909	15.6652	36.6599	18.1465	32.3972	9.2124	7.5563	11.1916	36.9743	14.8398
TTC22	4.1632	9.2848	12.0668	5.8168	9.8311	16.196	1.6473	98.4933	5.3491	4.3678
PHTF2	5.234	15.5294	13.7293	2.9358	9.1491	18.7775	20.5407	3.1796	8.9261	12.6812
CCL26	0.2027	4.6583	0.4515	0.8381	0.6574	0.9961	5.3509	0.9359	0.8186	4.5278
FARP2	12.4518	8.8624	8.2158	0.8097	4.0894	15.4025	8.9808	19.0315	6.083	14.5943
USH1C	0.0436	1.4227	154.7684	0.01	78.0363	0.0357	0	37.8899	76.808	96.6485
GGCT	83.0225	114.8266	10.0885	126.747	9.9057	101.7774	60.0948	73.6153	12.1672	58.4869
DBF4	7.2272	16.4074	4.2595	1.4318	2.6317	12.0652	7.2526	10.2885	2.818	14.9476
TBXA2R	1.4369	3.7522	16.167	2.0841	11.1843	2.0643	6.7469	0.8478	11.6444	1.5872
IFRD1	6.0424	3.5677	5.3287	3.1812	2.6513	2.666	2.2193	3.5206	1.7843	2.5964
LGALS14	0	0	0	0.0543	0	0.0646	0	0	0	0
COX10	8.3753	11.1803	7.3913	3.0668	6.8005	15.6604	7.7951	7.0602	5.0173	10.7795
GTF2IRD1	20.2641	20.0024	11.4929	23.3058	9.2561	27.5399	10.7203	18.916	11.5207	14.5574
PAF1	154.9561	81.2833	88.6835	145.6203	68.1183	96.1563	100.87	51.8248	79.3386	40.2201
VPS41	35.9171	30.5081	36.0571	13.5473	28.988	50.4302	26.2517	19.1623	42.8732	72.3658
ARHGAP44	2.5228	3.5359	2.894	5.804	1.9913	3.1238	3.5352	1.2099	4.0437	10.1531
ELAC2	38.0239	67.2162	30.1132	29.2746	17.5288	44.0305	34.8445	20.0202	33.2546	33.7765
SCIN	1.2382	0.4409	4.4317	0.1943	15.0191	1.3653	3.1308	6.0753	11.6279	0.4189
ARSD	66.7608	15.3306	43.0504	51.6827	41.5702	105.0032	34.8235	13.4974	55.4943	19.617
PNPLA4	31.7566	11.02	22.3007	28.7875	19.7695	62.1553	22.7709	3.2238	31.7362	7.4316
MYH13	0.0349	0.0349	0.4667	0	0.0063	0.534	0.935	0.0461	0.0188	0.0313
ADIPOR2	34.3672	87.3199	62.2151	19.1724	42.8641	88.4216	136.0573	38.8375	55.8428	44.3215
CDKL3	0.4526	0.5878	0.9407	0.4054	0.4647	0.5745	0.2524	0.4775	0.859	0.4384
UPP2	0.0482	0.1204	0.7156	0.6808	0.6121	0.1776	0.0717	0.3337	6.6951	0.6095
PRSS21	0.2898	4.4517	0.1614	0.0499	0.9006	24.4169	1.6161	0.0478	0.2048	0.273
MARK4	32.0882	22.5255	25.4001	11.9055	12.9549	41.1376	19.104	10.8517	26.2504	16.4208
PROM1	0.6212	0.2578	0.0709	0.2304	1.3015	13.8439	1.5134	22.0505	20.6292	0.2417
CCDC124	109.2348	189.4871	90.5735	188.585	73.9859	67.8082	57.1923	43.0326	80.4179	48.7626
CEACAM21	0.3244	4.1772	5.2443	0.7699	2.6882	1.2988	5.3866	0.4041	2.7072	2.4441
PAFAH1B1	31.0135	33.241	44.144	14.6746	26.0249	58.9124	39.1506	22.2427	37.5032	26.3165
NOS2	0.1296	1.9582	2.1405	0.6585	1.891	0.6766	1.5055	5.5444	0.4317	0.5928
DNAH9	0.5847	0.9203	0.4996	0.084	0.0727	0.4203	0.1251	0.0333	0.7134	0.1879
BLTP2	45.5746	57.9511	33.05	28.1117	34.1607	101.847	24.4708	32.252	54.2526	27.8401
SLC13A2	0	0.8607	0.6231	0.0152	0.1791	11.3784	0.2628	0.0874	0.0178	0.6063
GAS7	1.8872	15.8671	7.301	1.2857	3.7116	53.7325	34.372	19.8698	7.1046	5.7272
TRAPPC6A	193.399	126.1305	68.4899	150.3961	54.9399	95.0103	53.5497	26.544	51.6904	30.7866
MATK	2.79	14.6925	5.2924	2.7408	4.2997	0.6487	3.0857	0.159	4.0054	1.1121
CEACAM7	2.337	0	0	0	0.0145	0.3519	0.4394	75.4765	0	5.3629
CD79B	1.2442	7.2504	6.2595	13.1196	4.7813	1.4717	13.6951	0.2051	5.8053	1.8226
SCN4A	0.0951	0.1209	11.3459	0.4944	4.3637	0.5168	1.8447	0.0171	2.667	0.0372
ST7L	8.9388	3.2927	4.3712	2.4282	3.8806	7.4926	4.1886	4.5556	2.5269	4.1812
TKTL1	0.0404	0.3029	0.4501	0.0139	0.8192	0.0331	0.2554	0.0133	1.7301	0.0109
PAX6	0.0138	0.5312	0.0051	0	0.0224	0.1555	0.1104	0.3529	0.0139	0.0037
RPUSD1	21.2841	42.7047	19.4094	27.0043	12.2531	36.0597	12.3031	14.205	19.0379	21.2869
RHBDF1	52.0198	16.6606	15.609	24.3887	10.0158	37.1235	22.8467	21.4024	14.6628	32.7463
LUC7L	27.0357	25.0024	20.642	15.1918	13.6	18.5957	19.0446	9.5037	8.8897	10.4319
CACNA2D2	8.9026	3.227	1.1867	1.026	1.0533	12.491	7.0908	1.3575	0.7074	0.1886
BAIAP3	39.9892	1.0721	5.1435	7.1769	3.4168	12.9248	1.006	0.8769	4.927	0.3453
TSR3	102.7148	77.0164	86.9105	174.7614	62.3824	76.0091	53.9014	27.7689	93.2695	38.5716
PIGQ	24.5016	14.2909	17.6956	35.6792	11.5005	17.9915	11.5325	6.6877	16.9589	19.4482
CRAMP1	11.4739	6.7581	5.2061	2.8672	4.2606	8.9545	4.0433	6.0464	3.8028	3.2434
TEAD3	58.526	43.336	11.867	17.2943	10.6352	55.6968	40.4879	73.5651	14.7037	60.4489
SELE	0.202	4.7347	4.7292	1.7129	3.2667	6.4771	29.5987	0.9325	2.4596	12.694
DNAJC11	21.4929	25.9808	23.4988	3.6511	16.2517	29.7125	17.2715	18.1206	20.0628	12.7883
FMO3	0.9947	5.1753	11.5672	0.3426	20.5828	4.2763	15.6219	1.0112	17.404	1.0036
MYLIP	66.9263	35.5263	127.4931	40.0353	59.6228	59.383	48.6529	13.9053	58.8054	39.6231
NOX1	1.9897	2.5196	1.2065	1.699	0.9238	1.9965	1.0626	49.211	0.9052	16.7846
E2F2	0.6263	10.2708	1.5108	1.1596	0.7826	1.4958	1.164	11.1934	0.864	2.7804
PSMB1	201.5248	312.0367	225.6579	331.8426	190.4928	145.801	205.5046	188.4399	176.0224	208.0632
SYN1	0.8018	1.2587	1.2187	3.1828	0.5365	0.4534	0.9793	0.1762	0.9712	0.6575
JARID2	18.7177	50.8739	17.0623	2.642	10.2632	46.4129	16.8687	14.0965	11.0418	15.674
CDKL5	18.2536	2.1407	9.5215	0.6699	5.1131	11.4105	6.3753	4.9864	8.6646	4.5079
CAMK1G	0.7066	3.5724	2.0028	0.1033	2.7889	0.228	0.207	0.1694	0.7782	0.3111
CDK11A	0.9109	1.092	0.7074	0.9848	0.356	0.6312	0.6252	0.8872	0.2829	0.2413
NADK	52.9429	49.8725	26.9335	16.1924	16.663	40.9444	25.5492	34.9794	24.6113	15.815
TFAP2B	0	2.0473	0.0516	0	0.0063	132.6335	27.0375	0.4276	0.0187	0.0125
TFAP2D	0	0	0	0	0	0	0	0	0	0
DLEC1	1.3333	0.4611	0.3045	0.5476	0.254	0.8679	0.305	0.3043	0.069	0.2392
CYTH3	26.9082	16.8418	29.8372	10.7104	19.216	44.9636	50.7469	10.5832	20.0653	24.959
ADAM22	2.9676	4.0442	3.1308	0.334	4.7986	3.8175	3.6482	0.2658	5.9112	3.6592
SYPL1	242.7032	126.5486	265.8788	86.3742	169.1162	391.2011	190.1483	163.8271	211.383	351.4587
CYB561	217.7894	86.5161	49.6021	29.907	26.244	87.624	65.7771	33.6302	36.1428	73.3395
SPAG9	24.5012	34.8819	75.5235	10.91	53.3485	45.3407	31.4632	20.1743	40.5103	44.5512
CELSR3	1.3996	1.6449	0.4049	0.4112	0.5589	2.8947	0.6082	6.535	0.1995	1.3872
AASS	24.5853	11.4949	11.3988	1.2525	7.8768	14.0989	8.4434	3.4907	3.6185	2.6299
PLEKHG6	2.6431	31.2341	2.0365	4.8867	6.1655	5.4796	4.838	32.9396	2.7559	17.2034
SS18L2	52.1797	15.1379	7.6005	18.7539	5.6816	22.8338	19.9149	10.6255	5.6849	9.1385
MPND	33.3888	31.9997	15.2834	33.0669	17.4421	21.7024	13.782	5.8713	29.5194	10.6309
MGST1	16.4441	9.7971	59.986	112.156	84.0361	74.5053	32.5894	62.4917	155.5582	35.7316
CRY1	27.54	13.6964	17.4558	5.883	8.8749	34.8533	18.6134	10.6428	11.2284	20.1693
PGLYRP1	0.4026	1.1061	0.7472	0	0.3808	0	0.1497	0.3319	0.1626	0.325
NFIX	406.2342	46.7088	30.5306	27.1541	15.9193	82.0719	88.1631	44.1673	46.3711	57.8077
ST3GAL1	4.2427	23.0577	40.827	39.5794	20.1868	40.1091	28.1728	22.4775	27.9104	7.7938
MMP25	1.007	4.6612	1.9435	0.8672	1.3424	0.8934	1.5847	2.5788	1.3283	1.6528
IL32	16.0561	201.8611	239.0889	24.4797	165.2795	18.6219	111.1645	67.6273	268.8848	258.9951
PKD1	8.7014	10.5401	11.5421	0.6834	7.177	7.2356	3.3932	7.954	10.517	8.2332
MAPK8IP2	38.9721	5.2598	0.4383	0.6441	0.5518	7.2128	3.2468	3.5531	2.6227	7.6858
MED24	34.977	63.5632	36.0608	22.6233	27.3763	46.1275	27.9673	23.166	24.6916	40.476
RHOBTB2	5.724	8.3888	12.5624	30.6941	6.8507	21.4592	14.7141	1.9619	11.7695	14.4558
HEATR5B	21.9468	14.7862	28.947	2.8846	19.6064	52.7184	18.9533	16.8796	22.4948	15.8743
SEC62	176.1383	36.5836	153.7439	50.3481	103.0069	118.194	92.8652	45.4108	158.8512	135.9703
RPS20	451.625	495.3315	410.847	991.9578	427.4532	480.1856	412.9216	112.8955	514.5496	236.4418
CSDE1	457.7172	218.1583	581.2949	187.8657	324.096	618.0635	386.021	246.7768	288.5681	167.5162
UBE3C	51.8919	39.1766	38.2544	6.0153	23.1028	52.9363	37.0614	26.86	32.8127	56.5903
REV3L	3.6822	6.5892	12.2869	1.1657	7.5845	14.466	8.6093	4.8374	7.4711	10.2564
TENM1	0.105	0.4361	10.8947	3.2437	8.4095	0.0724	0.4519	0.0146	9.1306	0.0743
PAX7	0	0	0	0	0.0059	0.009	0.0082	0.0436	0.0356	0.077
MASP2	1.0044	1.4382	2.5598	0	1.7189	1.2612	0.5227	1.3026	0.6759	0.0991
IYD	0.4402	0.0275	0.6943	95.6167	0.1338	0.1802	0.0511	7.5148	0.4999	28.2571
FAM76A	18.5823	7.9004	16.2382	10.3388	8.005	13.2119	15.3079	5.9119	7.6952	12.6632
TRAF3IP3	0.423	11.0048	9.119	0.6335	2.6138	3.1776	8.4566	0.4123	3.0891	1.633
POMT2	10.0697	8.0319	8.5001	6.9031	6.5847	6.4556	6.5281	3.4516	5.4404	11.5045
VTA1	24.2523	25.2378	28.6575	8.2663	19.5954	39.8884	27.2136	31.2729	18.15	26.7888
MLXIPL	1.6873	4.2286	24.3453	11.8588	9.102	6.9205	1.2324	10.443	26.3189	17.2912
BAZ1B	72.6169	64.8086	62.7886	16.8919	35.9314	112.7551	63.1354	27.617	54.526	71.7564
RANBP9	42.5459	34.6119	33.5402	10.0013	19.0855	53.6635	48.4129	77.5821	27.2481	30.2621
ETV7	0.7204	24.4403	10.651	11.933	18.9151	10.2506	9.4403	13.7774	5.8423	22.8741
SPRTN	3.1011	12.6448	6.9325	1.5462	4.0168	16.778	10.3165	9.055	3.9757	8.4349
METTL13	35.6415	71.2845	27.7264	23.5169	25.1115	70.3608	34.45	20.608	19.5289	23.7546
DYRK4	2.5358	14.0284	6.2692	13.0782	4.3949	7.4374	8.1043	2.6648	5.3357	4.0448
